Gene_Name,Index
BCL2L2,1462
BCL3,1463
BCL6,1464
BCL6B,1465
BCL7A,1466
BCL7B,1467
BCL7C,1468
BCL8,1469
BCL9,1470
BCL9L,1471
BCLAF1,1472
BCMO1,1473
BCO2,1474
BCOR,1475
BCORL1,1476
BCR,1477
BCS1L,1478
BDH1,1479
BDH2,1480
BDKRB1,1481
BDKRB2,1482
BDNF,1483
BDP1,1484
BEAN1,1485
BECN1,1486
BEGAIN,1487
BEND2,1488
BEND3,1489
BEND4,1490
BEND5,1491
BEND6,1492
BEND7,1493
BEST1,1494
BEST2,1495
BEST3,1496
BEST4,1497
BET1,1498
BET1L,1499
BET3L,1500
BEX1,1501
BEX2,1502
BEX4,1503
BEX5,1504
BFAR,1505
BFSP1,1506
BFSP2,1507
BGLAP,1508
BGN,1509
BHLHA15,1510
BHLHB9,1511
BHLHE22,1512
BHLHE23,1513
BHLHE40,1514
BHLHE41,1515
BHMT,1516
BHMT2,1517
BICC1,1518
BICD1,1519
BICD2,1520
BID,1521
BIK,1522
BIN1,1523
BIN2,1524
BIN3,1525
BIRC2,1526
BIRC3,1527
BIRC5,1528
BIRC6,1529
BIRC7,1530
BIRC8,1531
BIVM,1532
BLCAP,1533
BLID,1534
BLK,1535
BLM,1536
BLMH,1537
BLNK,1538
BLOC1S1,1539
BLOC1S2,1540
BLOC1S3,1541
BLOC1S5,1542
BLOC1S6,1543
BLVRA,1544
BLVRB,1545
BLZF1,1546
BMF,1547
BMI1,1548
BMP1,1549
BMP10,1550
BMP15,1551
BMP2,1552
BMP2K,1553
BMP2KL,1554
BMP3,1555
BMP4,1556
BMP5,1557
BMP6,1558
BMP7,1559
BMP8A,1560
BMP8B,1561
BMPER,1562
BMPR1A,1563
BMPR1B,1564
BMPR2,1565
BMS1,1566
BMX,1567
BNC1,1568
BNC2,1569
BNIP1,1570
BNIP2,1571
BNIP3,1572
BNIP3L,1573
BNIPL,1574
BOC,1575
BOD1,1576
BOD1L,1577
BOD1L1,1578
BOD1L2,1579
BOK,1580
BOLA1,1581
BOLA3,1582
BOLL,1583
BOP1,1584
BORA,1585
BPGM,1586
BPHL,1587
BPI,1588
BPIFA1,1589
BPIFA2,1590
BPIFA3,1591
BPIFB1,1592
BPIFB2,1593
BPIFB3,1594
BPIFB4,1595
BPIFB6,1596
BPIFC,1597
BPIL1,1598
BPIL2,1599
BPIL3,1600
BPNT1,1601
BPTF,1602
BRAF,1603
BRAP,1604
BRAT1,1605
BRCA1,1606
BRCA2,1607
BRCC3,1608
BRD1,1609
BRD2,1610
BRD3,1611
BRD4,1612
BRD7,1613
BRD8,1614
BRD9,1615
BRDT,1616
BRE,1617
BRF1,1618
BRF2,1619
BRI3,1620
BRI3BP,1621
BRIP1,1622
BRIX1,1623
BRK1,1624
BRMS1,1625
BRMS1L,1626
BROX,1627
